dataset,mode,experiment,model,kind,accuracy,macro_f1,balanced_acc,MCC,FAR,DR
wustl,multiclass,E1,Hermes-4-70B,LLM,0.804,0.8041811332498014,0.8039999999999999,0.7555290555732066,0.22,0.98
wustl,multiclass,E1,Hermes-4-405B,LLM,0.764,0.750767684295643,0.764,0.7235432616541657,0.1,0.845
wustl,multiclass,E1,RandomForest,Anchor,0.896,0.8869947187256144,0.8960000000000001,0.8768308143182919,0.02,0.99
wustl,multiclass,E1,TabPFN,Anchor,0.904,0.896121781454297,0.904,0.8863872738556646,0.02,0.99
wustl,multiclass,E1,TabICL,Anchor,0.844,0.8391535803300509,0.844,0.8083535399122379,0.06,0.975
wustl,multiclass,E2_k5,Qwen3-235B-A22B,LLM,0.824,0.8165504061156236,,0.7860603047667092,0.08,0.96
wustl,multiclass,E2_k5,RandomForest,Anchor,0.896,0.8869947187256144,,0.8768308143182919,0.02,0.99
wustl,multiclass,E2_k5,TabPFN,Anchor,0.904,0.896121781454297,,0.8863872738556646,0.02,0.99
wustl,multiclass,E2_k5,TabICL,Anchor,0.844,0.8391535803300509,,0.8083535399122379,0.06,0.975
wustl,multiclass,E2_k10,Qwen3-235B-A22B,LLM,0.908,0.9073103740803008,,0.8859395942190204,0.02,0.985
wustl,multiclass,E2_k10,RandomForest,Anchor,0.948,0.946921692669866,,0.9369885257509448,0.02,0.995
wustl,multiclass,E2_k10,TabPFN,Anchor,0.972,0.9719946286126588,,0.9654055555178688,0.02,0.99
wustl,multiclass,E2_k10,TabICL,Anchor,0.948,0.9470344256758028,,0.9370638130859064,0.02,1.0
wustl,multiclass,E2_k25,Qwen3-235B-A22B,LLM,0.968,0.9675792897804282,,0.9607496772364816,0.02,0.985
wustl,multiclass,E2_k25,RandomForest,Anchor,0.992,0.991999199919992,,0.9900396023761584,0.02,1.0
wustl,multiclass,E2_k25,TabPFN,Anchor,0.992,0.991999599959996,,0.9900198005940198,0.02,0.995
wustl,multiclass,E2_k25,TabICL,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,Qwen3-235B-A22B,LLM,0.988,0.9880729226082904,,0.9851379289657588,0.02,1.0
wustl,multiclass,E2_k50,RandomForest,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,TabPFN,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,TabICL,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k100,Qwen3-235B-A22B,LLM,0.992,0.992,,0.99,0.0,1.0
wustl,multiclass,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E3_typed-json,Qwen3-235B-A22B,LLM,0.856,0.8510658542998554,0.8559999999999999,0.8235987530224574,0.22,0.985
wustl,multiclass,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.856,0.8478354498460877,0.8559999999999999,0.82419761303107,0.02,0.99
wustl,multiclass,E3_raw-json,Qwen3-235B-A22B,LLM,0.828,0.8218736722411737,0.828,0.7879524737409875,0.12,0.965
wustl,multiclass,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.82,0.8142094522929796,0.82,0.7802136424903123,0.08,0.95
wustl,multiclass,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.982,0.8152124577803578,0.91795967279548,0.9688483295888592,0.0192028985507246,0.999074074074074
